ViolentCrimesPerPop	state	communityname	racepctblack	racePctHisp	agePct12t21	pctUrban	medIncome	pctWPubAsst	PctPopUnderPov	PctUnemployed	TotalPctDiv	PctKids2Par	PctImmigRec5	PctImmigRec10	PctRecImmig5	PctRecImmig10	PctNotSpeakEnglWell	NumInShelters	PctForeignBorn	LemasSwornFT	LemasTotalReq	PolicReqPerOffic	OfficAssgnDrugUnits	NumKindsDrugsSeiz	PolicAveOTWorked	PctUsePubTrans	LemasGangUnitDeploy	LemasPctOfficDrugUn
0.2266	8	Lakewoodcity	0.02	0.17	0.34	1	0.37	0.15	0.19	0.27	0.75	0.59	0.27	0.39	0.07	0.08	0.06	0.04	0.12	0.03	0.06	0.44	0.02	0.57	0.29	0.2	0.5	0.32
0.4202	36	Albanycity	0.4	0.06	0.58	1	0.22	0.39	0.48	0.37	0.49	0.25	0.39	0.46	0.19	0.18	0.08	0.23	0.23	0.06	0.05	0.23	0.1	0.64	0.22	0.84	0.5	0.88
0.2129	6	Modestocity	0.05	0.3	0.42	1	0.33	0.64	0.34	0.59	0.67	0.61	0.45	0.64	0.36	0.42	0.35	0.12	0.38	0.03	0.05	0.35	0.05	0.57	0.36	0.05	0.5	0.76
0.2556	12	Jacksonvillecity	0.47	0.05	0.41	0.99	0.28	0.3	0.33	0.3	0.73	0.51	0.34	0.43	0.07	0.08	0.04	0.39	0.1	0.25	0.35	0.38	0.13	0.57	1	0.15	0	0.31
0.4541	19	SiouxCitycity	0.04	0.06	0.45	1	0.22	0.41	0.36	0.33	0.5	0.61	0.59	0.64	0.11	0.1	0.09	0.05	0.09	0.01	0.03	0.37	0.02	0.86	0.29	0.07	1	0.56
0.1975	51	Lynchburgcity	0.51	0.01	0.58	1	0.2	0.36	0.43	0.36	0.52	0.42	0.75	0.61	0.08	0.05	0.02	0.03	0.04	0.02	0.03	0.29	0.03	0.5	0.1	0.19	0	0.6
0.3393	18	Evansvillecity	0.19	0.01	0.36	1	0.19	0.35	0.38	0.45	0.71	0.49	0.42	0.5	0.02	0.02	0.04	0.05	0.02	0.04	0.04	0.25	0.03	0.5	0.78	0.09	0	0.34
0.3914	18	Kokomocity	0.17	0.03	0.4	1	0.24	0.38	0.43	0.54	0.78	0.47	0.13	0.22	0.01	0.02	0.04	0.04	0.04	0.01	0.02	0.31	0.03	0.29	0.16	0.01	0.5	0.82
0.2868	6	Riversidecity	0.14	0.48	0.52	1	0.38	0.42	0.31	0.44	0.59	0.57	0.48	0.59	0.46	0.47	0.38	0.1	0.46	0.2	0.03	0.02	0.07	0.57	0.38	0.09	0.5	0.22
0.1673	6	Concordcity	0.05	0.21	0.37	1	0.5	0.31	0.16	0.25	0.66	0.65	0.54	0.63	0.47	0.45	0.2	0.03	0.42	0.02	0.04	0.41	0.03	0.64	0.34	0.56	1	0.57
0.1594	1	Huntsvillecity	0.48	0.02	0.44	0.99	0.34	0.21	0.3	0.33	0.56	0.58	0.45	0.52	0.11	0.1	0.04	0.17	0.11	0.05	0.05	0.23	0.05	0.5	0.22	0	0.5	0.51
